Fecha;INDICATIVO;DIAS_SOL
01-10-2017;B893;2
01-11-2017;B893;4
01-12-2017;B893;0
01-01-2017;B228;2
01-02-2017;B228;2
01-03-2017;B228;0
01-04-2017;B228;0
01-05-2017;B228;0
01-06-2017;B228;0
01-07-2017;B228;0
01-08-2017;B228;0
01-09-2017;B228;0
01-10-2017;B228;0
01-11-2017;B228;7
01-12-2017;B228;2
01-01-2017;B278;2
01-02-2017;B278;2
01-03-2017;B278;6
01-04-2017;B278;7
01-05-2017;B278;6
01-06-2017;B278;17
01-07-2017;B278;15
01-08-2017;B278;12
01-09-2017;B278;2
01-10-2017;B278;5
01-11-2017;B278;6
01-12-2017;B278;2
01-01-2017;0200E;5
01-02-2017;0200E;5
01-03-2017;0200E;8
01-04-2017;0200E;10
01-05-2017;0200E;8
01-06-2017;0200E;11
01-07-2017;0200E;7
01-08-2017;0200E;5
01-09-2017;0200E;5
01-10-2017;0200E;5
01-11-2017;0200E;9
01-12-2017;0200E;8
01-01-2017;0076;2
01-02-2017;0076;5
01-03-2017;0076;7
01-04-2017;0076;9
01-05-2017;0076;6
01-06-2017;0076;10
01-07-2017;0076;3
01-08-2017;0076;6
01-09-2017;0076;4
01-10-2017;0076;4
01-11-2017;0076;12
01-12-2017;0076;6
01-01-2017;1082;6
01-02-2017;1082;1
01-03-2017;1082;2
01-04-2017;1082;7
01-05-2017;1082;2
01-06-2017;1082;3
01-07-2017;1082;1
01-08-2017;1082;3
01-09-2017;1082;3
01-10-2017;1082;6
01-11-2017;1082;0
01-12-2017;1082;3
01-01-2017;2331;6
01-02-2017;2331;1
01-03-2017;2331;7
01-04-2017;2331;12
01-05-2017;2331;3
01-06-2017;2331;5
01-07-2017;2331;11
01-08-2017;2331;10
01-09-2017;2331;5
01-10-2017;2331;15
01-11-2017;2331;0
01-12-2017;2331;3
01-01-2017;3469A;11
01-02-2017;3469A;6
01-03-2017;3469A;5
01-04-2017;3469A;9
01-05-2017;3469A;5
01-06-2017;3469A;10
01-07-2017;3469A;22
01-08-2017;3469A;17
01-09-2017;3469A;14
01-10-2017;3469A;0
01-11-2017;3469A;0
01-12-2017;3469A;0
01-01-2017;5960;18
01-02-2017;5960;0
01-03-2017;5960;10
01-04-2017;5960;12
01-05-2017;5960;9
01-06-2017;5960;21
01-07-2017;5960;21
01-08-2017;5960;19
01-09-2017;5960;14
01-10-2017;5960;17
01-11-2017;5960;16
01-12-2017;5960;17
01-01-2017;5910;16
01-02-2017;5910;2
01-03-2017;5910;7
01-04-2017;5910;9
01-05-2017;5910;9
01-06-2017;5910;14
01-07-2017;5910;23
01-08-2017;5910;16
01-09-2017;5910;14
01-10-2017;5910;17
01-11-2017;5910;17
01-12-2017;5910;17
01-01-2017;1111;5
01-02-2017;1111;1
01-03-2017;1111;0
01-04-2017;1111;9
01-05-2017;1111;1
01-06-2017;1111;2
01-07-2017;1111;1
01-08-2017;1111;3
01-09-2017;1111;1
01-10-2017;1111;4
01-11-2017;1111;0
01-12-2017;1111;3
01-01-2017;1109;9
01-02-2017;1109;1
01-03-2017;1109;0
01-04-2017;1109;9
01-05-2017;1109;3
01-06-2017;1109;2
01-07-2017;1109;3
01-08-2017;1109;3
01-09-2017;1109;0
01-10-2017;1109;5
01-11-2017;1109;2
01-12-2017;1109;3
01-01-2017;5402;0
01-02-2017;5402;0
01-03-2017;5402;0
01-04-2017;5402;0
01-05-2017;5402;0
01-06-2017;5402;0
01-07-2017;5402;0
01-08-2017;5402;0
01-09-2017;5402;17
01-10-2017;5402;0
01-11-2017;5402;0
01-12-2017;5402;0
01-01-2017;8096;6
01-02-2017;8096;5
01-03-2017;8096;5
01-04-2017;8096;8
01-05-2017;8096;6
01-06-2017;8096;4
01-07-2017;8096;18
01-08-2017;8096;9
01-09-2017;8096;10
01-10-2017;8096;18
01-11-2017;8096;12
01-12-2017;8096;11
01-01-2017;1014;6
01-02-2017;1014;1
01-03-2017;1014;2
01-04-2017;1014;11
01-05-2017;1014;3
01-06-2017;1014;4
01-07-2017;1014;2
01-08-2017;1014;6
01-09-2017;1014;1
01-10-2017;1014;10
01-11-2017;1014;5
01-12-2017;1014;4
01-01-2017;1024E;3
01-02-2017;1024E;1
01-03-2017;1024E;2
01-04-2017;1024E;8
01-05-2017;1024E;1
01-06-2017;1024E;2
01-07-2017;1024E;2
01-08-2017;1024E;5
01-09-2017;1024E;1
01-10-2017;1024E;7
01-11-2017;1024E;3
01-12-2017;1024E;4
01-01-2017;0367;6
01-02-2017;0367;7
01-03-2017;0367;6
01-04-2017;0367;10
01-05-2017;0367;2
01-06-2017;0367;9
01-07-2017;0367;0
01-08-2017;0367;7
01-09-2017;0367;0
01-10-2017;0367;7
01-11-2017;0367;12
01-12-2017;0367;8
01-01-2017;5530E;9
01-02-2017;5530E;0
01-03-2017;5530E;7
01-04-2017;5530E;10
01-05-2017;5530E;6
01-06-2017;5530E;13
01-07-2017;5530E;25
01-08-2017;5530E;19
01-09-2017;5530E;14
01-10-2017;5530E;20
01-11-2017;5530E;15
01-12-2017;5530E;16
